word,selected,annotated_semantics,projected_semantics,freq_sketch,f-pref_itwac,f-pref_repubblica,f-pref_wikiconll,f-adv_itwac,f-adv_repubblica,f-adv_wikiconll
abate,True,?,Job or Career,30,2,0,0,-,-,-
abbazia,True,?,Place or function,42,2,0,3,-,-,-
abitanti,True,Qualification or Set of Circumstances,Qualification or Set of Circumstances,45,3,0,4,-,-,-
Acna,True,?,?,45,1,0,0,-,-,-
adepti,True,?,?,45,3,3,0,-,-,-
aeroporto,True,?,Place or function,52,4,2,1,-,-,-
agente,True,Job or Career,Job or Career,654,54,64,61,-,-,-
agenti,True,Job or Career,Job or Career,177,17,18,11,-,-,-
albergo,True,Place or function,Place or function,78,7,5,3,-,-,-
Albergo,True,?,?,23,3,0,0,-,-,-
alcolista,True,?,?,65,11,0,0,-,-,-
alcolisti,True,?,Qualification or Set of Circumstances,46,7,1,1,-,-,-
alcolizzato,True,?,Qualification or Set of Circumstances,35,3,1,3,-,-,-
Alfa,True,?,?,34,0,0,0,-,-,-
Alitalia,True,?,?,26,0,0,0,-,-,-
alleata,True,?,?,23,0,1,1,-,-,-
alleati,True,Qualification or Set of Circumstances,Qualification or Set of Circumstances,311,32,21,17,-,-,-
alleato,True,Qualification or Set of Circumstances,Qualification or Set of Circumstances,176,26,10,13,-,-,-
allenatore,True,Job or Career,Job or Career,217,16,17,28,-,-,-
allieva,True,Qualification or Set of Circumstances,Qualification or Set of Circumstances,155,13,1,7,-,-,-
allieve,True,?,?,97,3,0,2,-,-,-
allievi,True,Qualification or Set of Circumstances,Qualification or Set of Circumstances,1602,186,19,32,-,-,-
Allievi,True,?,?,55,2,0,0,-,-,-
allievo,True,Qualification or Set of Circumstances,Qualification or Set of Circumstances,517,37,19,19,-,-,-
alunna,True,Qualification or Set of Circumstances,Qualification or Set of Circumstances,79,7,0,4,-,-,-
alunne,True,?,?,34,9,0,0,-,-,-
alunni,True,Qualification or Set of Circumstances,Qualification or Set of Circumstances,684,71,8,15,-,-,-
alunno,True,Qualification or Set of Circumstances,Qualification or Set of Circumstances,166,21,5,4,-,-,-
amante,True,Kinship,Kinship,379,46,43,31,-,-,-
amanti,True,Kinship,Kinship,197,18,10,1,-,-,-
ambasciatore,True,Job or Career,Job or Career,173,31,69,4,-,-,-
amica,True,Qualification or Set of Circumstances,Qualification or Set of Circumstances,94,13,3,8,-,-,-
amiche,True,?,?,24,0,0,1,-,-,-
amici,True,Qualification or Set of Circumstances,Qualification or Set of Circumstances,244,29,22,6,-,-,-
amico,True,Qualification or Set of Circumstances,Qualification or Set of Circumstances,346,50,18,25,-,-,-
amministratore,True,Role,Role,129,9,31,4,-,-,-
amministratori,True,Role,Role,94,7,36,1,-,-,-
AN,True,?,?,104,0,0,0,-,-,-
An,True,?,?,90,0,0,1,-,-,-
analista,True,?,?,46,2,3,0,-,-,-
anglicani,True,?,?,30,1,0,0,-,-,-
Ansaldo,True,?,?,104,0,0,0,-,-,-
appartenenti,True,?,?,74,10,4,8,-,-,-
apprendista,True,?,?,28,4,0,2,-,-,-
apprendisti,True,?,?,32,2,0,0,-,-,-
aquilotto,True,?,?,28,2,0,0,-,-,-
arbitro,True,Job or Career,Job or Career,54,8,2,3,-,-,-
arcivescovo,True,?,?,32,1,0,0,-,-,-
area,True,Entity,Entity,205,21,1,4,-,-,-
Area,True,?,?,24,0,0,0,-,-,-
aree,True,?,?,50,2,0,3,-,-,-
Arsenale,True,?,?,28,7,0,2,-,-,-
asilo,True,?,?,149,12,0,1,-,-,-
Asilo,True,?,?,46,0,0,0,-,-,-
ASL,True,?,?,40,1,0,0,-,-,-
assessore,True,Role,Role,376,24,55,2,-,-,-
Assessore,True,?,?,59,3,0,0,-,-,-
assessori,True,Role,Role,52,4,4,0,-,-,-
assistente,True,Role,Role,112,5,6,2,-,-,-
assistiti,True,?,?,24,0,0,0,-,-,-
astronauta,True,Job or Career,Job or Career,59,4,9,3,-,-,-
atleta,True,Job or Career,Job or Career,166,22,4,8,-,-,-
atleti,True,Job or Career,Job or Career,158,11,5,5,-,-,-
attaccante,True,?,Role,47,1,1,1,-,-,-
attivista,True,?,?,33,3,1,0,-,-,-
attore,True,Job or Career,Job or Career,95,23,27,6,-,-,-
attrice,True,Job or Career,Job or Career,102,21,9,9,-,-,-
austriache,True,?,?,23,0,0,1,-,-,-
austriaco,True,?,?,24,0,0,0,-,-,-
autista,True,?,Job or Career,31,4,2,2,-,-,-
avversario,True,Qualification or Set of Circumstances,Qualification or Set of Circumstances,23,1,5,0,-,-,-
avvocato,True,Job or Career,Job or Career,89,11,5,2,-,-,-
azienda,True,?,Place or function,46,5,2,1,-,-,-
azionisti,True,?,Qualification or Set of Circumstances,35,4,3,3,-,-,-
azzurro,True,?,?,32,0,1,0,-,-,-
ballerina,True,Job or Career,Job or Career,75,9,4,3,-,-,-
ballerino,True,?,Job or Career,26,4,3,1,-,-,-
bambina,True,?,Qualification or Set of Circumstances,39,3,3,2,-,-,-
bambini,True,Qualification or Set of Circumstances,Qualification or Set of Circumstances,122,32,4,1,-,-,-
bambino,True,?,?,57,13,0,1,-,-,-
Banca,True,?,?,87,11,0,0,-,-,-
banca,True,?,?,24,2,1,0,-,-,-
bancario,True,?,?,25,0,2,0,-,-,-
banchiere,True,Job or Career,Job or Career,84,6,9,0,-,-,-
band,True,Qualification or Set of Circumstances,Qualification or Set of Circumstances,61,6,0,5,-,-,-
barboun,True,?,?,24,0,0,0,-,-,-
base,True,Place or function,Place or function#Rank,86,11,10,9,-,-,-
bassista,True,Job or Career,Job or Career,151,22,0,23,-,-,-
batterista,True,Job or Career,Job or Career,193,20,0,57,-,-,-
Beatle,True,Qualification or Set of Circumstances,Qualification or Set of Circumstances,178,21,0,19,-,-,-
beatle,True,?,?,64,1,0,1,-,-,-
Beatles,True,?,?,58,0,0,2,-,-,-
Bertone,True,?,?,47,0,0,0,-,-,-
biblioteca,True,?,?,72,5,0,1,-,-,-
Birmania,True,Denomination,Denomination,88,13,0,0,-,-,-
birreria,True,Place or function,Place or function,30,5,0,0,-,-,-
blocco,True,Qualification or Set of Circumstances,Qualification or Set of Circumstances,109,24,13,2,-,-,-
Bologna,True,?,?,33,0,0,1,-,-,-
boss,True,Role,Role,48,4,20,3,-,-,-
bourbon,True,?,?,190,0,0,0,-,-,-
Bourbon,True,?,?,136,0,0,0,-,-,-
braccio,True,Role,Role,38,8,36,1,-,-,-
Breda,True,?,?,73,0,0,1,-,-,-
brigatista,True,?,Cultural or political movement,72,8,3,2,-,-,-
brigatisti,True,Cultural or political movement,Cultural or political movement,33,6,6,0,-,-,-
Bucks,True,?,?,26,0,0,0,-,-,-
buttafuori,True,?,?,24,0,0,0,-,-,-
cacciatore,True,?,?,51,8,0,3,-,-,-
calciatore,True,Job or Career,Job or Career,359,39,12,21,-,-,-
calciatori,True,Job or Career,Job or Career,151,15,2,7,-,-,-
camerati,True,?,?,24,17,0,1,-,-,-
campione,True,Rank,Rank,446,46,86,50,-,-,-
Campione,True,?,?,34,3,1,0,-,-,-
campionessa,True,?,Rank,52,5,2,1,-,-,-
campioni,True,Rank,Rank,103,17,10,9,-,-,-
campo,True,Entity,Entity,139,14,4,4,-,-,-
Canapificio,True,?,?,39,2,0,0,-,-,-
cancelliere,True,Job or Career,Job or Career#Role,74,20,16,5,-,-,-
candidata,True,?,?,36,0,2,0,-,-,-
candidati,True,?,-,28,0,0,0,-,-,-
candidato,True,Qualification or Set of Circumstances,Qualification or Set of Circumstances,117,14,39,1,-,-,-
canonica,True,?,?,37,1,0,1,-,-,-
cantante,True,Job or Career,Job or Career,333,22,5,29,-,-,-
capi,True,Role,Role,75,7,14,2,-,-,-
capitale,True,Qualification or Set of Circumstances,Qualification or Set of Circumstances,203,16,31,11,-,-,-
capitano,True,Role,Role,275,26,13,26,-,-,-
capo,True,Role,Role,839,127,208,46,-,-,-
Capo,True,?,?,61,7,0,2,-,-,-
capogruppo,True,Role,Role,41,5,6,0,-,-,-
capolista,True,?,?,35,3,0,0,-,-,-
cappella,True,Place or function,Place or function,47,9,1,5,-,-,-
carabiniere,True,Job or Career,Job or Career,51,4,5,0,-,-,-
carcerati,True,Qualification or Set of Circumstances,Qualification or Set of Circumstances,157,8,1,6,-,-,-
carcerato,True,Qualification or Set of Circumstances,Qualification or Set of Circumstances,99,9,1,5,-,-,-
carcere,True,Entity,Entity#Place or function,133,13,1,4,-,-,-
carceri,True,?,?,46,6,2,0,-,-,-
Card,True,?,?,25,0,0,0,-,-,-
cartiera,True,?,?,46,2,0,2,-,-,-
casa,True,Place or function,Place or function,219,17,2,6,-,-,-
Casa,True,Place or function,Place or function,85,0,0,6,-,-,-
caserma,True,Place or function,Place or function,410,30,4,10,-,-,-
Caserma,True,?,?,103,6,0,1,-,-,-
caserme,True,?,Place or function,61,2,1,2,-,-,-
cattedra,True,?,?,49,5,0,0,-,-,-
cattedrale,True,?,Place or function,51,7,1,1,-,-,-
cattolici,True,?,-,50,3,0,0,-,-,-
cattolico,True,?,?,29,1,0,0,-,-,-
cava,True,Place or function,Place or function,249,26,1,1,-,-,-
cavaliere,True,Job or Career,Job or Career,73,2,0,4,-,-,-
Cavaliere,True,Role,Role,66,0,0,3,-,-,-
cave,True,?,?,51,10,0,1,-,-,-
Cecoslovacchia,True,?,?,53,0,0,2,-,-,-
cementificio,True,?,?,26,0,0,0,-,-,-
centrale,True,?,Place or function,90,2,1,1,-,-,-
centro,True,?,?,50,3,0,2,-,-,-
Centro,True,?,?,24,12,0,0,-,-,-
centrocampista,True,?,?,41,8,0,1,-,-,-
CEO,True,?,?,60,0,0,0,-,-,-
cestista,True,?,Role,24,1,1,1,-,-,-
chiesa,True,Place or function,Place or function,635,39,5,44,-,-,-
Chiesa,True,Place or function,Place or function,134,7,0,5,-,-,-
chiesetta,True,?,?,34,4,0,0,-,-,-
chitarrista,True,Job or Career,Job or Career,248,28,1,54,-,-,-
ciclista,True,Job or Career,Job or Career,38,8,0,4,-,-,-
cieco,True,?,?,28,2,0,0,-,-,-
cimitero,True,?,?,37,2,1,0,-,-,-
cinema,True,Place or function,Place or function,227,26,12,1,-,-,-
Cinema,True,?,?,55,0,0,3,-,-,-
circondario,True,?,?,32,0,0,0,-,-,-
circoscrizione,True,Qualification or Set of Circumstances,Qualification or Set of Circumstances,28,0,0,5,-,-,-
Cirielli,True,?,?,481,26,0,1,-,-,-
città,True,?,Qualification or Set of Circumstances,58,5,2,0,-,-,-
cittadini,True,Qualification or Set of Circumstances,Qualification or Set of Circumstances,55,13,2,4,-,-,-
classe,True,?,?,38,3,0,0,-,-,-
cliente,True,?,?,76,7,2,0,-,-,-
clienti,True,?,?,147,13,3,0,-,-,-
clinica,True,?,?,29,0,0,0,-,-,-
club,True,?,?,31,0,0,2,-,-,-
CNR,True,?,?,29,3,0,0,-,-,-
coach,True,?,Role,136,7,2,2,-,-,-
cognato,True,Kinship,Kinship,30,1,0,4,-,-,-
coinquilino,True,?,?,27,3,0,2,-,-,-
collaboratore,True,Role,Role,133,19,32,8,-,-,-
collaboratori,True,Role,Role,100,9,13,5,-,-,-
collega,True,Role,Role,634,73,19,34,-,-,-
colleghe,True,?,Qualification or Set of Circumstances,46,4,2,2,-,-,-
colleghi,True,Role,Role,562,62,31,16,-,-,-
collegio,True,Place or function,Place or function,50,7,0,9,-,-,-
Collegio,True,?,?,47,1,0,2,-,-,-
coloni,True,?,Job or Career,38,5,3,3,-,-,-
colonia,True,Place or function,Place or function,569,115,41,26,-,-,-
Colonia,True,?,?,24,0,0,2,-,-,-
coloniale,True,?,?,36,0,1,0,-,-,-
coloniali,True,?,?,168,0,0,0,-,-,-
colonie,True,Place or function,Place or function,838,102,18,44,-,-,-
colonizzati,True,?,?,34,1,1,0,-,-,-
colonizzatori,True,?,Job or Career,38,7,3,2,-,-,-
