word,selected,annotated_semantics,projected_semantics,freq_sketch,f-pref_itwac,f-pref_repubblica,f-pref_wikiconll,f-adv_itwac,f-adv_repubblica,f-adv_wikiconll
Aegon,True,?,?,1,-,-,-,0,0,0
alieni,True,?,?,2,-,-,-,0,0,0
amante,True,?,Kinship,1,-,-,-,0,0,0
amico,True,?,Qualification or Set of Circumstances,1,-,-,-,0,0,0
amore,True,?,Entity#Qualification or Set of Circumstances,1,-,-,-,0,0,0
autonomia,True,?,?,1,-,-,-,0,0,0
avvenimento,True,?,?,1,-,-,-,0,0,0
candidato,True,?,Qualification or Set of Circumstances,2,-,-,-,0,1,0
comica,True,?,?,1,-,-,-,0,0,0
dati,True,?,?,1,-,-,-,0,0,0
dato,True,?,?,1,-,-,-,0,0,1
elettori,True,?,Qualification or Set of Circumstances,1,-,-,-,0,0,0
ex,True,?,?,1,-,-,-,0,0,0
fallo,True,?,?,1,-,-,-,0,0,0
falso,True,?,?,1,-,-,-,0,0,0
fidanzata,True,?,Kinship,1,-,-,-,0,0,0
fidanzato,True,?,Kinship,5,-,-,-,0,0,0
futuro,True,?,?,2,-,-,-,0,0,0
intervista,True,?,Entity,2,-,-,-,0,0,0
lavoro,True,?,Qualification or Set of Circumstances,1,-,-,-,0,0,0
libro,True,?,Entity,1,-,-,-,0,0,0
maitre,True,?,?,1,-,-,-,0,0,0
mamma,True,?,Kinship,1,-,-,-,0,0,0
manigoldi,True,?,?,1,-,-,-,0,0,0
molto,True,?,?,1,-,-,-,0,0,0
Mundus,True,?,?,1,-,-,-,0,0,0
estinto,True,?,?,0,-,-,-,0,0,0
notizia,True,?,Qualification or Set of Circumstances,1,-,-,-,0,0,0
notiziola,True,?,?,1,-,-,-,0,0,0
padre,True,?,Kinship,2,-,-,-,0,0,0
parenti,True,?,?,1,-,-,-,0,0,0
Pdl,True,?,?,1,-,-,-,0,0,0
principi,True,?,?,1,-,-,-,0,0,0
relatore,True,?,?,2,-,-,-,0,0,0
ricercatore,True,?,Job or Career,1,-,-,-,0,0,0
riforma,True,?,Entity#-,2,-,-,-,0,0,0
Risposi,True,?,?,1,-,-,-,0,0,0
romanzo,True,?,?,1,-,-,-,0,0,0
strumento,True,?,?,1,-,-,-,0,0,0
Tav,True,?,?,1,-,-,-,0,0,0
telefonino,True,?,?,1,-,-,-,0,0,0
trentenne,True,?,?,1,-,-,-,0,0,0
uomo,True,?,Qualification or Set of Circumstances,1,-,-,-,0,0,0
virus,True,?,?,1,-,-,-,0,0,0
--,False,?,?,0,-,-,-,0,15,0
a,False,?,?,0,-,-,-,0,28,2
abile,False,?,?,0,-,-,-,0,1,0
abituar-,False,?,?,0,-,-,-,0,1,0
abolito,False,?,?,0,-,-,-,0,1,0
accelerato,False,?,?,0,-,-,-,0,1,0
acceso,False,?,?,0,-,-,-,0,1,0
accetta,False,?,?,0,-,-,-,0,1,0
accetterà,False,?,?,0,-,-,-,0,2,0
accogliente,False,?,?,0,-,-,-,0,1,0
Acutis,False,?,?,0,-,-,-,0,1,0
ad,False,?,?,0,-,-,-,0,2,0
adatti,False,?,?,0,-,-,-,0,1,0
addirittura,False,?,?,0,-,-,-,0,1,0
aderisce,False,?,?,0,-,-,-,0,1,0
adesso,False,?,?,0,-,-,-,0,1,0
adibito,False,?,?,0,-,-,-,0,1,1
adoro,False,?,?,0,-,-,-,0,1,0
adottivo,False,?,?,0,-,-,-,0,1,0
affascinante,False,?,?,0,-,-,-,0,1,0
affiancando-,False,?,?,0,-,-,-,0,0,1
affitterà,False,?,?,0,-,-,-,0,1,0
affrettata,False,?,?,0,-,-,-,0,3,0
affrettato,False,?,?,0,-,-,-,0,1,1
affrontano,False,?,?,0,-,-,-,0,1,0
agghiacciante,False,?,?,0,-,-,-,0,1,0
aggiungerò,False,?,?,0,-,-,-,0,1,0
aggiustato,False,?,?,0,-,-,-,0,1,0
agibile,False,?,?,0,-,-,-,0,1,0
agitato,False,?,?,0,-,-,-,0,1,0
ai,False,?,?,0,-,-,-,0,1,0
aiuta,False,?,?,0,-,-,-,0,1,0
al,False,?,?,0,-,-,-,0,7,1
alcuni,False,?,?,0,-,-,-,0,1,0
alessandrino,False,?,?,0,-,-,-,0,1,0
alla,False,?,?,0,-,-,-,0,7,0
allarmata,False,?,?,0,-,-,-,0,1,0
alle,False,?,?,0,-,-,-,0,2,0
alleate,False,?,?,0,-,-,-,0,1,0
allora,False,?,?,0,-,-,-,0,2,0
allude,False,?,?,0,-,-,-,0,0,1
alternativo,False,?,?,0,-,-,-,0,1,0
altezzosi,False,?,?,0,-,-,-,0,1,0
alto,False,?,?,0,-,-,-,0,1,0
altrettanto,False,?,?,0,-,-,-,0,2,0
altro,False,?,?,0,-,-,-,0,1,0
altrove,False,?,?,0,-,-,-,0,1,0
amano,False,?,?,0,-,-,-,0,1,0
amareggiato,False,?,?,0,-,-,-,0,1,0
anacronistica,False,?,?,0,-,-,-,0,1,0
anche,False,?,?,0,-,-,-,0,27,1
ancor,False,?,?,0,-,-,-,0,2,1
ancora,False,?,?,0,-,-,-,0,7,0
ancorata,False,?,?,0,-,-,-,0,1,0
andava,False,?,?,0,-,-,-,0,4,0
andrà,False,?,?,0,-,-,-,0,5,0
andrebbe,False,?,?,0,-,-,-,0,2,0
angoscia,False,?,?,0,-,-,-,0,1,0
annega,False,?,?,0,-,-,-,0,1,0
annidati,False,?,?,0,-,-,-,0,1,0
annulla,False,?,?,0,-,-,-,0,1,0
annunciato,False,?,?,0,-,-,-,0,2,0
anticipatore,False,?,?,0,-,-,-,0,0,1
antiquato,False,?,?,0,-,-,-,0,1,0
anzi,False,?,?,0,-,-,-,0,0,1
apocrifa,False,?,?,0,-,-,-,0,3,0
apocrifo,False,?,?,0,-,-,-,0,0,2
appagato,False,?,?,0,-,-,-,0,1,0
appannata,False,?,?,0,-,-,-,0,1,0
appariranno,False,?,?,0,-,-,-,0,1,0
appartenente,False,?,?,0,-,-,-,0,0,3
appartiene,False,?,?,0,-,-,-,0,1,0
appena,False,?,?,0,-,-,-,0,2,0
appiccate,False,?,?,0,-,-,-,0,1,0
applicato,False,?,?,0,-,-,-,0,1,0
apprezzerebbe,False,?,?,0,-,-,-,0,1,0
approda,False,?,?,0,-,-,-,0,1,0
aprirà,False,?,?,0,-,-,-,0,1,0
apriranno,False,?,?,0,-,-,-,0,1,0
aprono,False,?,?,0,-,-,-,0,1,0
ardito,False,?,?,0,-,-,-,0,1,0
armate,False,?,?,0,-,-,-,0,1,1
arrisa,False,?,?,0,-,-,-,0,1,0
arrivato,False,?,?,0,-,-,-,0,1,0
arrivava,False,?,?,0,-,-,-,0,0,1
arriverà,False,?,?,0,-,-,-,0,4,0
arriveranno,False,?,?,0,-,-,-,0,1,0
arriveremo,False,?,?,0,-,-,-,0,1,0
artificiale,False,?,?,0,-,-,-,0,1,0
artrosico,False,?,?,0,-,-,-,0,1,0
aspettano,False,?,?,0,-,-,-,0,1,0
aspettava,False,?,?,0,-,-,-,0,1,0
aspetterà,False,?,?,0,-,-,-,0,1,0
aspramente,False,?,?,0,-,-,-,0,1,0
assoluta,False,?,?,0,-,-,-,0,1,0
assomiglia,False,?,?,0,-,-,-,0,1,0
attende,False,?,?,0,-,-,-,0,1,0
attendono,False,?,?,0,-,-,-,0,1,0
attenuati,False,?,?,0,-,-,-,0,1,0
attesa,False,?,?,0,-,-,-,0,1,0
attirando-,False,?,?,0,-,-,-,0,1,0
attraverso,False,?,?,0,-,-,-,0,1,0
attrezzata,False,?,?,0,-,-,-,0,0,1
attribuibile,False,?,?,0,-,-,-,0,0,1
attrono,False,?,?,0,-,-,-,0,0,1
audace,False,?,?,0,-,-,-,0,1,0
aumenterà,False,?,?,0,-,-,-,0,1,0
autentico,False,?,?,0,-,-,-,0,2,0
autobiografica,False,?,?,0,-,-,-,0,1,0
autobiografico,False,?,?,0,-,-,-,0,1,0
autogiustificativo,False,?,?,0,-,-,-,0,1,0
avariata,False,?,?,0,-,-,-,0,1,0
avere,False,?,?,0,-,-,-,0,1,0
aveva,False,?,?,0,-,-,-,0,3,1
avevano,False,?,?,0,-,-,-,0,1,0
avrà,False,?,?,0,-,-,-,0,3,0
avrei,False,?,?,0,-,-,-,0,1,0
avremo,False,?,?,0,-,-,-,0,1,0
avvelenato,False,?,?,0,-,-,-,0,0,2
avvenuta,False,?,?,0,-,-,-,0,0,3
avverrà,False,?,?,0,-,-,-,0,1,0
avversario,False,?,Qualification or Set of Circumstances,0,-,-,-,0,1,0
avverto,False,?,?,0,-,-,-,0,1,0
avvilente,False,?,?,0,-,-,-,0,1,0
azzardo,False,?,?,0,-,-,-,0,1,0
balzano,False,?,?,0,-,-,-,0,1,0
banale,False,?,?,0,-,-,-,0,6,0
Barocci,False,?,?,0,-,-,-,0,1,0
bastato,False,?,?,0,-,-,-,0,1,0
basteranno,False,?,?,0,-,-,-,0,1,0
basterebbe,False,?,?,0,-,-,-,0,1,0
batterebbe,False,?,?,0,-,-,-,0,1,0
beneficeranno,False,?,?,0,-,-,-,0,1,0
beneficiano,False,?,?,0,-,-,-,0,1,0
benevoli,False,?,?,0,-,-,-,0,1,0
Bertinotti,False,?,?,0,-,-,-,0,1,0
Bertolucci,False,?,?,0,-,-,-,0,1,0
bianche,False,?,?,0,-,-,-,0,1,0
bip-bip,False,?,?,0,-,-,-,0,1,0
bisogna,False,?,?,0,-,-,-,0,3,0
bisognava,False,?,?,0,-,-,-,0,1,0
bisognerà,False,?,?,0,-,-,-,0,4,0
bisognerebbe,False,?,?,0,-,-,-,0,6,0
bizzarra,False,?,?,0,-,-,-,0,1,0
blasfemo,False,?,?,0,-,-,-,0,1,0
breve,False,?,?,0,-,-,-,0,1,0
brevissima,False,?,?,0,-,-,-,0,1,0
bruciata,False,?,?,0,-,-,-,0,1,0
bruciati,False,?,?,0,-,-,-,0,1,0
bugiarde,False,?,?,0,-,-,-,0,1,0
bulla,False,?,?,0,-,-,-,0,1,0
buona,False,?,?,0,-,-,-,0,2,0
buono,False,?,?,0,-,-,-,0,1,0
caddero,False,?,?,0,-,-,-,0,1,0
cadendo,False,?,?,0,-,-,-,0,1,0
cadrebbe,False,?,?,0,-,-,-,0,1,0
caduta,False,?,?,0,-,-,-,0,1,0
cambia,False,?,?,0,-,-,-,0,2,0
cambierà,False,?,?,0,-,-,-,0,1,0
cambieranno,False,?,?,0,-,-,-,0,1,0
cambierebbero,False,?,?,0,-,-,-,0,1,0
cancellerà,False,?,?,0,-,-,-,0,1,0
capace,False,?,?,0,-,-,-,0,4,0
capiremo,False,?,?,0,-,-,-,0,1,0
capisce,False,?,?,0,-,-,-,0,1,0
capitano,False,?,Role,0,-,-,-,0,1,0
capo,False,?,Role,0,-,-,-,0,1,0
casuale,False,?,?,0,-,-,-,0,6,0
causa,False,?,?,0,-,-,-,0,1,0
causata,False,?,?,0,-,-,-,0,2,0
cedendo,False,?,?,0,-,-,-,0,1,0
cederà,False,?,?,0,-,-,-,0,2,0
cederanno,False,?,?,0,-,-,-,0,1,0
ceduto,False,?,?,0,-,-,-,0,1,0
centocinquanta,False,?,?,0,-,-,-,0,1,0
centrale,False,?,Place or function,0,-,-,-,0,3,0
centriste,False,?,?,0,-,-,-,0,1,0
cerca,False,?,?,0,-,-,-,0,3,0
cercando,False,?,?,0,-,-,-,0,1,0
cercava,False,?,?,0,-,-,-,0,1,0
cercavano,False,?,?,0,-,-,-,0,1,0
Cervellati,False,?,?,0,-,-,-,0,1,0
che,False,?,?,0,-,-,-,0,4,0
chemiosintetica,False,?,?,0,-,-,-,0,0,1
chiacchierata,False,?,?,0,-,-,-,0,1,0
chiamata,False,?,?,0,-,-,-,0,1,0
chiamerebbero,False,?,?,0,-,-,-,0,1,0
chiarirà,False,?,?,0,-,-,-,0,1,0
chiederà,False,?,?,0,-,-,-,0,2,0
chiederanno,False,?,?,0,-,-,-,0,1,0
chissà,False,?,?,2,-,-,-,0,2,0
chiuderà,False,?,?,0,-,-,-,0,1,0
chiuderebbe,False,?,?,0,-,-,-,0,1,0
chiusa,False,?,?,0,-,-,-,0,1,0
Clinton,False,?,?,0,-,-,-,0,1,0
coetanea,False,?,?,0,-,-,-,0,0,1
coglie,False,?,?,0,-,-,-,0,1,0
