word,selected,annotated_semantics,projected_semantics,freq_sketch,f-pref_itwac,f-pref_repubblica,f-pref_wikiconll,f-adv_itwac,f-adv_repubblica,f-adv_wikiconll
amici,True,-,Qualification or Set of Circumstances,1,-,-,-,0,0,0
cinquantenne,True,?,?,1,-,-,-,0,6,1
donna,True,-,Qualification or Set of Circumstances,2,-,-,-,0,2,0
ex,True,?,?,0,-,-,-,0,29,2
fantasmi,True,?,?,1,-,-,-,0,0,0
morto,True,?,Qualification or Set of Circumstances,1,-,-,-,0,10,8
nonni,True,-,?,1,-,-,-,0,1,0
sposi,True,?,Kinship,1,-,-,-,0,0,0
--,True,-,-,0,-,-,-,0,12,0
Alberto,True,-,-,0,-,-,-,0,1,0
Alfa,True,-,-,0,-,-,-,0,0,0
Apple,True,-,-,0,-,-,-,0,0,0
Associazione,True,-,Qualification or Set of Circumstances,0,-,-,-,0,0,0
Basket,True,-,-,0,-,-,-,0,0,0
Capitano,True,-,-,0,-,-,-,0,0,0
Carlo,True,-,-,0,-,-,-,0,0,0
Colonnello,True,-,-,0,-,-,-,0,0,1
Commissario,True,-,-,0,-,-,-,0,0,0
Comune,True,-,-,0,-,-,-,0,0,0
Consiglio,True,-,-,0,-,-,-,0,0,0
Coppa,True,-,-,0,-,-,-,0,0,0
Dipartimento,True,-,-,0,-,-,-,0,0,0
Direttore,True,-,-,0,-,-,-,0,0,0
Dr.,True,-,-,0,-,-,-,0,0,1
Duca,True,-,-,0,-,-,-,0,0,0
Generale,True,-,-,0,-,-,-,0,0,0
Gruppo,True,-,-,0,-,-,-,0,0,0
Imperatore,True,-,-,0,-,-,-,0,0,0
Impero,True,-,Qualification or Set of Circumstances,0,-,-,-,0,0,0
Istituto,True,-,Place or function,0,-,-,-,0,0,0
Lista,True,-,-,0,-,-,-,0,0,0
Master,True,-,-,0,-,-,-,0,0,0
Ministro,True,-,Role,0,-,-,-,0,0,0
Nobel,True,-,-,0,-,-,-,0,0,0
Padre,True,-,-,0,-,-,-,0,0,0
Palazzo,True,-,Place or function,0,-,-,-,0,0,0
Patto,True,-,-,0,-,-,-,0,0,0
Piano,True,-,-,0,-,-,-,0,0,0
Pm,True,-,-,0,-,-,-,0,0,0
Presidente,True,-,Role,0,-,-,-,0,0,0
Re,True,-,-,0,-,-,-,0,0,0
Regno,True,-,-,0,-,-,-,0,0,0
Repubblica,True,-,Qualification or Set of Circumstances,0,-,-,-,0,0,0
Segretario,True,-,Role,0,-,-,-,0,0,0
Sindaco,True,-,-,0,-,-,-,0,0,0
Stato,True,-,-,0,-,-,-,0,0,0
URSS,True,-,Denomination,0,-,-,-,0,0,0
Unione,True,-,Denomination,0,-,-,-,0,0,0
Università,True,-,-,0,-,-,-,0,0,0
abbandonata,True,-,-,0,-,-,-,0,10,6
abbandono,True,-,-,0,-,-,-,0,0,0
abbattimento,True,-,-,0,-,-,-,0,0,0
abbraccio,True,-,-,0,-,-,-,0,0,0
abilità,True,-,-,0,-,-,-,0,0,0
abituali,True,-,-,0,-,-,-,0,5,1
abitudine,True,-,-,0,-,-,-,0,0,0
abolizione,True,-,-,0,-,-,-,0,0,0
abusi,True,-,-,0,-,-,-,0,0,0
abuso,True,-,-,0,-,-,-,0,0,0
accenno,True,-,-,0,-,-,-,0,0,0
accettazione,True,-,Process,0,-,-,-,0,0,0
acclarato,True,-,-,0,-,-,-,0,5,1
accoglienza,True,-,-,0,-,-,-,0,0,0
accordo,True,-,Process,0,-,-,-,0,0,0
accusa,True,-,-,0,-,-,-,0,0,0
accuse,True,-,-,0,-,-,-,0,0,0
acquisto,True,-,Qualification or Set of Circumstances#-,0,-,-,-,0,0,0
acuto,True,-,-,0,-,-,-,0,1,0
adagio,True,-,-,0,-,-,-,0,0,0
addio,True,-,-,0,-,-,-,0,0,0
adeguamento,True,-,-,0,-,-,-,0,0,0
adesione,True,-,Process,0,-,-,-,0,0,0
adolescente,True,-,Qualification or Set of Circumstances,0,-,-,-,0,2,1
adozione,True,-,Process#-,0,-,-,-,0,0,0
adulto,True,-,-,0,-,-,-,0,7,3
aereo,True,-,-,0,-,-,-,0,0,0
affermazione,True,-,-,0,-,-,-,0,0,0
affidabilità,True,-,-,0,-,-,-,0,0,0
affidamento,True,-,-,0,-,-,-,0,0,0
aficionados,True,-,-,0,-,-,-,0,0,0
aforistico,True,-,-,0,-,-,-,0,0,0
agenda,True,-,-,0,-,-,-,0,0,0
agente,True,-,Job or Career,0,-,-,-,0,0,0
agenzie,True,-,-,0,-,-,-,0,1,0
aggressione,True,-,-,0,-,-,-,0,0,0
aiuti,True,-,-,0,-,-,-,0,0,0
allargamento,True,-,-,0,-,-,-,0,0,0
alleanza,True,-,-,0,-,-,-,0,0,0
alleato,True,-,Qualification or Set of Circumstances,0,-,-,-,0,0,0
allenatore,True,-,Job or Career,0,-,-,-,0,0,0
alternativa,True,-,-,0,-,-,-,0,1,0
altezza,True,-,-,0,-,-,-,0,0,0
ambasciatore,True,-,Job or Career,0,-,-,-,0,0,0
ambito,True,-,-,0,-,-,-,0,0,0
amica,True,-,Qualification or Set of Circumstances,0,-,-,-,0,1,0
amichevole,True,-,-,0,-,-,-,0,0,0
amicizia,True,-,-,0,-,-,-,0,0,0
amico,True,-,Qualification or Set of Circumstances,0,-,-,-,0,1,1
amministrative,True,-,-,0,-,-,-,0,0,0
amministratore,True,-,Role,0,-,-,-,0,0,0
amministratori,True,-,Role,0,-,-,-,0,0,0
amministrazione,True,-,-,0,-,-,-,0,0,0
ammissione,True,-,Process,0,-,-,-,0,0,0
ammissioni,True,-,-,0,-,-,-,0,0,0
anarchico,True,-,-,0,-,-,-,0,0,0
anni,True,-,-,0,-,-,-,0,0,0
anno,True,-,-,0,-,-,-,0,0,0
ansiose,True,-,-,0,-,-,-,0,1,0
antico,True,-,-,0,-,-,-,0,14,0
anziana,True,-,-,0,-,-,-,0,10,5
anziani,True,-,-,0,-,-,-,0,3,7
apertura,True,-,-,0,-,-,-,0,0,0
apparizione,True,-,-,0,-,-,-,0,0,0
appartenenza,True,-,-,0,-,-,-,0,0,0
appetibilità,True,-,-,0,-,-,-,0,0,0
appiattimento,True,-,-,0,-,-,-,0,0,0
applicazione,True,-,-,0,-,-,-,0,0,0
appoggio,True,-,-,0,-,-,-,0,0,0
apprendisti,True,-,-,0,-,-,-,0,0,0
approvazione,True,-,Process,0,-,-,-,0,0,0
appuntamento,True,-,-,0,-,-,-,0,1,0
architetto,True,-,-,0,-,-,-,0,0,0
architettura,True,-,-,0,-,-,-,0,0,0
arcinoto,True,-,-,0,-,-,-,0,6,0
arcivescovo,True,-,-,0,-,-,-,0,0,0
aristocratici,True,-,-,0,-,-,-,0,0,0
armata,True,-,-,0,-,-,-,0,0,0
arrivo,True,-,-,0,-,-,-,0,0,0
arte,True,-,Entity,0,-,-,-,0,0,0
articolo,True,-,-,0,-,-,-,0,0,0
artigiani,True,-,-,0,-,-,-,0,0,0
artista,True,-,-,0,-,-,-,0,0,0
aspetto,True,-,-,0,-,-,-,0,0,0
assale,True,-,-,0,-,-,-,0,0,0
assalto,True,-,-,0,-,-,-,0,0,0
assassinio,True,-,-,0,-,-,-,0,0,0
assegnazione,True,-,Process,0,-,-,-,0,0,0
assenza,True,-,-,0,-,-,-,0,0,0
assessore,True,-,Role,0,-,-,-,0,0,0
assimilazione,True,-,-,0,-,-,-,0,0,0
assunzione,True,-,-,0,-,-,-,0,0,0
atmosfera,True,-,-,0,-,-,-,0,0,0
attacchi,True,-,-,0,-,-,-,0,0,0
attacco,True,-,-,0,-,-,-,0,0,0
attenzione,True,-,-,0,-,-,-,0,0,0
attesa,True,-,-,0,-,-,-,0,0,0
attestato,True,-,-,0,-,-,-,0,2,0
attivazione,True,-,-,0,-,-,-,0,0,0
attività,True,-,-,0,-,-,-,0,0,0
atto,True,-,-,0,-,-,-,0,0,0
attore,True,-,Job or Career,0,-,-,-,0,0,0
attribuzione,True,-,-,0,-,-,-,0,0,0
attrice,True,-,Job or Career,0,-,-,-,0,0,0
attuazione,True,-,-,0,-,-,-,0,0,0
audizione,True,-,-,0,-,-,-,0,0,0
aumento,True,-,-,0,-,-,-,0,0,0
auto,True,-,-,0,-,-,-,0,0,0
automobilisti,True,-,-,0,-,-,-,0,0,0
autonomia,True,-,-,0,-,-,-,0,0,0
autore,True,-,-,0,-,-,-,0,1,0
autorità,True,-,-,0,-,-,-,0,0,0
autorizzazione,True,-,-,0,-,-,-,0,0,0
autosufficienza,True,-,-,0,-,-,-,0,0,0
avanzata,True,-,-,0,-,-,-,0,8,8
avversario,True,-,Qualification or Set of Circumstances,0,-,-,-,0,1,0
avvocato,True,-,Job or Career,0,-,-,-,0,0,0
avvoltoio,True,-,-,0,-,-,-,0,0,0
azienda,True,-,Place or function,0,-,-,-,0,1,0
azione,True,-,Entity,0,-,-,-,0,0,0
bacio,True,-,-,0,-,-,-,0,0,0
ballerino,True,-,Job or Career,0,-,-,-,0,0,0
ballo,True,-,-,0,-,-,-,0,0,0
bambina,True,-,Qualification or Set of Circumstances,0,-,-,-,0,0,0
banale,True,-,-,0,-,-,-,0,2,0
banca,True,-,-,0,-,-,-,0,0,0
band,True,-,Qualification or Set of Circumstances,0,-,-,-,0,0,0
bandiera,True,-,-,0,-,-,-,0,0,0
bandiere,True,-,-,0,-,-,-,0,0,0
bandito,True,-,Qualification or Set of Circumstances,0,-,-,-,0,0,0
base,True,-,Place or function#Rank,0,-,-,-,0,0,0
battaglia,True,-,-,0,-,-,-,0,0,0
batterista,True,-,Job or Career,0,-,-,-,0,0,0
battuta,True,-,-,0,-,-,-,0,0,0
battute,True,-,-,0,-,-,-,0,0,0
beata,True,-,-,0,-,-,-,0,0,0
beatificazione,True,-,-,0,-,-,-,0,0,0
benessere,True,-,-,0,-,-,-,0,0,0
bicentenaria,True,-,-,0,-,-,-,0,0,1
bidello,True,-,-,0,-,-,-,0,1,0
bip-bip,True,-,-,0,-,-,-,0,0,0
bisogno,True,-,-,0,-,-,-,0,0,0
blocchi,True,-,-,0,-,-,-,0,0,0
bocciatura,True,-,-,0,-,-,-,0,0,0
bollito,True,-,-,0,-,-,-,0,1,0
borgo,True,-,-,0,-,-,-,0,0,0
botta,True,-,-,0,-,-,-,0,0,0
braccio,True,-,Role,0,-,-,-,0,0,0
brani,True,-,-,0,-,-,-,0,0,0
bugie,True,-,-,0,-,-,-,0,0,0
caccia,True,-,-,0,-,-,-,0,0,0
cacciatore,True,-,-,0,-,-,-,0,0,0
caduta,True,-,-,0,-,-,-,0,2,2
calata,True,-,-,0,-,-,-,0,0,0
calciatore,True,-,Job or Career,0,-,-,-,0,0,0
calcio,True,-,-,0,-,-,-,0,0,0
calendario,True,-,-,0,-,-,-,0,0,0
cambiamento,True,-,-,0,-,-,-,0,0,0
cambio,True,-,-,0,-,-,-,0,0,0
camicia,True,-,-,0,-,-,-,0,0,0
campione,True,-,Rank,0,-,-,-,0,2,1
campo,True,-,Entity,0,-,-,-,0,0,0
cancellata,True,-,-,0,-,-,-,0,1,2
candidati,True,-,-,0,-,-,-,0,0,0
candidato,True,-,Qualification or Set of Circumstances,0,-,-,-,0,0,0
candidatura,True,-,-,0,-,-,-,0,0,0
canonici,True,-,-,0,-,-,-,0,0,0
canonico,True,-,-,0,-,-,-,0,1,0
cantante,True,-,Job or Career,0,-,-,-,0,0,0
cantanti,True,-,-,0,-,-,-,0,0,0
canti,True,-,-,0,-,-,-,0,0,0
canto,True,-,-,0,-,-,-,0,0,0
canzone,True,-,-,0,-,-,-,0,0,0
canzoni,True,-,-,0,-,-,-,0,0,0
capacità,True,-,-,0,-,-,-,0,0,0
capitale,True,-,Qualification or Set of Circumstances,0,-,-,-,0,1,0
capitano,True,-,Role,0,-,-,-,0,1,0
capo,True,-,Role,0,-,-,-,0,0,0
capocannoniere,True,-,-,0,-,-,-,0,1,0
capogruppo,True,-,Role,0,-,-,-,0,0,0
capolavoro,True,-,-,0,-,-,-,0,0,0
caratteristica,True,-,-,0,-,-,-,0,0,1
cardinale,True,-,Job or Career,0,-,-,-,0,0,0
casa,True,-,Place or function,0,-,-,-,0,0,0
casalinga,True,-,-,0,-,-,-,0,0,0
caso,True,-,-,0,-,-,-,0,0,0
casse,True,-,-,0,-,-,-,0,0,0
castrato,True,-,-,0,-,-,-,0,0,0
cattura,True,-,-,0,-,-,-,0,0,0
cecità,True,-,-,0,-,-,-,0,0,0
celeberrima,True,-,-,0,-,-,-,0,5,2
cellulare,True,-,-,0,-,-,-,0,0,0
cena,True,-,-,0,-,-,-,0,0,0
centenario,True,-,-,0,-,-,-,0,7,0
centinaia,True,-,-,0,-,-,-,0,0,0
centrale,True,-,Place or function,0,-,-,-,0,2,0
centrali,True,-,-,0,-,-,-,0,0,0
centro,True,-,-,0,-,-,-,0,0,0
centrocampista,True,-,-,0,-,-,-,0,0,0
cerchi,True,-,-,0,-,-,-,0,0,0
certezza,True,-,-,0,-,-,-,0,2,0
certificazione,True,-,-,0,-,-,-,0,0,0
cessione,True,-,-,0,-,-,-,0,0,0
chiacchiera,True,-,-,0,-,-,-,0,0,0
chierico,True,-,-,0,-,-,-,0,0,0
chitarrista,True,-,Job or Career,0,-,-,-,0,0,0
chiusura,True,-,-,0,-,-,-,0,0,0
cifra,True,-,-,0,-,-,-,0,0,0
cinema,True,-,Place or function,0,-,-,-,0,0,0
circolare,True,-,-,0,-,-,-,0,0,0
circuito,True,-,-,0,-,-,-,0,0,0
citazione,True,-,-,0,-,-,-,0,0,0
città,True,-,Qualification or Set of Circumstances,0,-,-,-,0,0,0
cittadella,True,-,-,0,-,-,-,0,0,0
cittadino,True,-,Qualification or Set of Circumstances,0,-,-,-,0,0,1
civiltà,True,-,Entity,0,-,-,-,0,0,0
classiche,True,-,-,0,-,-,-,0,11,2
classici,True,-,-,0,-,-,-,0,20,4
classifica,True,-,-,0,-,-,-,0,0,0
classificazione,True,-,-,0,-,-,-,0,0,0
clinica,True,-,-,0,-,-,-,0,0,0
club,True,-,-,0,-,-,-,0,0,0
coach,True,-,Role,0,-,-,-,0,0,0
