"ex-novo",6941
"ex-Jugoslavia",3840
"ex-voto",3687
"ex-aequo",3478
"ex-presidente",3102
"ex-post",2815
"ex-moglie",2451
"ex-ante",2435
"ex-ministro",1821
"ex-allievi",1602
"ex-marito",1485
"ex-studenti",1244
"ex-sindaco",1183
"ex-convento",1054
"tex-mex",999
"ex-detenuti",998
"ex-direttore",948
"ex-compagni",925
"ex-comunisti",922
"ex-compagno",909
"ex-capo",839
"ex-colonie",838
"ex-membri",815
"ex-fidanzata",769
"Cortex-A53",761
"ex-Presidente",757
"ex-dipendenti",738
"sex-appeal",735
"ex-equo",729
"ex-combattenti",726
"ex-alunni",684
"ex-fidanzato",677
"ex-membro",667
"ex-Unione",666
"ex-agente",654
"ex-libris",650
"ex-chiesa",635
"ex-collega",634
"ex-premier",603
"Kart-Vortex-Vega",578
"ex-URSS",574
"ex-giocatore",571
"ex-colonia",569
"ex-Yugoslavia",564
"ex-colleghi",562
"ex-segretario",562
"ex-militare",560
"sex-symbol",558
"ex-leader",557
"ex-allievo",517
"ex-comunista",513
"Tex-Mex",488
"ex-partner",482
"ex-Cirielli",481
"ex-fumatori",449
"ex-campione",446
"ex-ragazza",439
"ex-militari",421
"ex-compagna",419
"ex-pilota",414
"ex-scuola",414
"ex-caserma",410
"ex-dipendente",409
"ex-sovietici",394
"ex-sovietiche",388
"ex-studente",384
"ex-ufficiale",384
"ex-machina",383
"ex-amante",379
"ex-assessore",376
"ex-poliziotto",376
"ex-calciatore",359
"ex-Ministro",356
"ex-amico",346
"ex-governatore",344
"ex-INPDAP",336
"ex-cantante",333
"ex-ospedale",332
"ex-cathedra",330
"ex-soldato",320
"ex-prigionieri",319
"ex-ragazzo",317
"ex-coniuge",315
"ex-fabbrica",311
"ex-alleati",311
"ex-schiavi",309
"ex-primo",303
"ex-coniugi",303
"Cortex-A9",302
"ex-dirigente",297
"ex-detenuto",293
"Cortex-A7",288
"ex-lavoratori",284
"ex-monastero",284
"ex-situ",282
"ex-consigliere",279
"ex-capitano",275
"ex-giocatori",273
"ex-sovietico",268
"ex-presidenti",263
"ex-generale",262
"ex-squadra",257
"ex-sovietica",252
"ex-stazione",249
"ex-repubbliche",249
"ex-comandante",249
"ex-cava",249
"ex-chitarrista",248
"ex-vivo",248
"ex-Iugoslavia",248
"ex-magistrato",247
"ex-lege",247
"ex-soldati",245
"ex-amici",244
"ex-comune",240
"ex-insegnante",233
"ex-manager",231
"ex-re",229
"ex-socialisti",229
"ex-cinema",227
"ex-tossicodipendenti",225
"ex-ministri",225
"ex-art",221
"ex-casa",219
"ex-allenatore",217
"ex-demo",216
"ex-parlamentare",215
"ex-ferrovia",215
"ex-fascisti",214
"ex-sherry",213
"ex-partigiani",210
"ex-Urss",208
"ex-Ilva",208
"ex-area",205
"ex-pazienti",205
"ex-gay",204
"ex-capitale",203
"ex-deputato",202
"Cortex-A15",200
"ex-sistere",199
"ex-amanti",197
"ex-democristiani",194
"ex-Convento",194
"ex-batterista",193
"deus-ex-machina",191
"ex-marine",190
"ex-bourbon",190
"ex-ufficiali",187
"ex-senatore",185
"ex-DDR",185
"ex-sede",184
"ex-pugile",183
"ex-socio",181
"Cortex-M3",179
"ex-scuole",178
"ex-deportati",178
"ex-Beatle",178
"ex-agenti",177
"ex-alleato",176
"ex-Sindaco",175
"ex-professore",175
"ex-ambasciatore",173
"ex-nemici",171
"ex-impero",170
"ex-modella",170
"ex-coloniali",168
"ex-dirigenti",168
"ex-alunno",166
"ex-atleta",166
"ex-dittatore",165
"ex-vicepresidente",164
"ex-parlamentari",162
"ex-atleti",158
"ex-Compagnia",157
"ex-carcerati",157
"ex-esposti",156
"ex-fumatore",156
"ex-monopolista",156
"ex-allieva",155
"ex-tempore",152
"ex-sindacalista",152
"ex-partigiano",151
"ex-bassista",151
"ex-calciatori",151
"ex-lsu",150
