	abilitata		neo-abilitata	21
	abilitati		neo-abilitati	79
	abilitato		neo-abilitato	23
	acquirente		neo-acquirente	14
	acquirenti		neo-acquirenti	17
	acquisti		neo-acquisti	100
	acquisto		neo-acquisto	782
	adulto		neo-adulto	15
	advaita		neo-advaita	20
	affiliata		neo-affiliata	14
	affiliati		neo-affiliati	22
	affiliato		neo-affiliato	18
	agente		neo-agente	15
	agricoltori		neo-agricoltori	25
	agricoltura		neo-agricoltura	17
	alleati		neo-alleati	26
	allenatore		neo-allenatore	194
	ambasciatore		neo-ambasciatore	23
	amici		neo-amici	15
	amico		neo-amico	15
	amministratore		neo-amministratore	25
	amministratori		neo-amministratori	18
	amministrazione		neo-amministrazione	22
	anarchismo		neo-anarchismo	16
	angiogenesi		neo-angiogenesi	78
	antifascismo		neo-antifascismo	17
	antigeni		neo-antigeni	17
	apostolici		neo-apostolici	190
	aramaico		neo-aramaico	25
	arbitri		neo-arbitri	20
	architetto		neo-architetto	22
	arcivescovo		neo-arcivescovo	40
	aristocratici		neo-aristocratici	39
	aristocratico		neo-aristocratico	29
	aristotelismo		neo-aristotelismo	19
	artisti		neo-artisti	15
	assessora		neo-assessora	23
	assessore		neo-assessore	382
	Assessore		neo-Assessore	39
	assessori		neo-assessori	40
	assira		neo-assira	35
	assiri		neo-assiri	32
	assiro		neo-assiro	105
	associati		neo-associati	16
	associazione		neo-associazione	33
	assolutismo		neo-assolutismo	17
	assunta		neo-assunta	57
	assunte		neo-assunte	20
	assunti		neo-assunti	1484
	assunto		neo-assunto	504
	atlantismo		neo-atlantismo	19
	attori		neo-attori	18
	attrice		neo-attrice	19
	autori		neo-autori	20
	autoritarismo		neo-autoritarismo	44
	avanguardia		neo-avanguardia	223
	avanguardie		neo-avanguardie	213
	avvocati		neo-avvocati	27
	avvocato		neo-avvocato	23
	aziende		neo-aziende	22
	azzurro		neo-azzurro	17
	babilonese		neo-babilonese	150
	babilonesi		neo-babilonesi	37
	banca		neo-banca	28
	banche		neo-banche	15
	band		neo-band	14
	barocco		neo-barocco	284
