	crisi		pre-crisi	6404
	produzione		pre-produzione	4563
	gara		pre-gara	3881
	iscrizione		pre-iscrizione	3510
	partita		pre-partita	3282
	campionato		pre-campionato	2878
	ordine		pre-ordine	2730
	impianto		pre-impianto	1956
	trattamento		pre-trattamento	1947
	parto		pre-parto	1690
	ordini		pre-ordini	1688
	vendita		pre-vendita	1669
	allenamento		pre-allenamento	1615
	iscrizioni		pre-iscrizioni	1585
	morte		pre-morte	1472
	selezione		pre-selezione	1440
	registrazione		pre-registrazione	1397
	requisito		pre-requisito	1314
	ruolo		pre-ruolo	1312
	adolescenti		pre-adolescenti	1251
	eclampsia		pre-eclampsia	1143
	requisiti		pre-requisiti	1138
	serie		pre-serie	1116
	condizione		pre-condizione	1111
	workout		pre-workout	1111
	partenza		pre-partenza	1090
	menopausa		pre-menopausa	1083
	apertura		pre-apertura	1035
	scuola		pre-scuola	1018
	adesione		pre-adesione	1014
	shampoo		pre-shampoo	992
	stagione		pre-stagione	980
	affido		pre-affido	972
	giudizio		pre-giudizio	957
	giudizi		pre-giudizi	924
	Covid		pre-Covid	907
	dissesto		pre-dissesto	846
	riforma		pre-riforma	748
	termine		pre-termine	743
	condizioni		pre-condizioni	733
	esercizio		pre-esercizio	732
	acquisto		pre-acquisto	698
	emergenza		pre-emergenza	680
	intervento		pre-intervento	664
	lancio		pre-lancio	663
	accordo		pre-accordo	645
	ricovero		pre-ricovero	635
	esame		pre-esame	634
	natale		pre-natale	633
	diabete		pre-diabete	624
	adolescenza		pre-adolescenza	612
	autorizzazione		pre-autorizzazione	608
	intesa		pre-intesa	606
	confezionati		pre-confezionati	558
	evento		pre-evento	542
	allarme		pre-allarme	532
	accademici		pre-accademici	505
	contrattuale		pre-contrattuale	488
	stampa		pre-stampa	488
	fattibilità		pre-fattibilità	480
	operatori		pre-operatori	475
	amplificatore		pre-amplificatore	469
	esposizione		pre-esposizione	457
	pensionamento		pre-pensionamento	452
	moderno		pre-moderno	451
	riscaldamento		pre-riscaldamento	450
	trapianto		pre-trapianto	450
	filtro		pre-filtro	436
	laurea		pre-laurea	435
	raccolta		pre-raccolta	432
	testo		pre-testo	432
	politica		pre-politica	409
	flop		pre-flop	397
	elaborazione		pre-elaborazione	387
	evoluzione		pre-evoluzione	382
	consegna		pre-consegna	375
	politico		pre-politico	370
	euro		pre-euro	369
	triage		pre-triage	357
	contratto		pre-contratto	355
	confezionate		pre-confezionate	353
	gravidanza		pre-gravidanza	349
	volo		pre-volo	347
	serata		pre-serata	346
	ammortamento		pre-ammortamento	345
	concerto		pre-concerto	337
	ciclo		pre-ciclo	331
	contrattuali		pre-contrattuali	329
	adolescente		pre-adolescente	328
	covid		pre-covid	322
	concordato		pre-concordato	313
	intermedio		pre-intermedio	310
	valutazione		pre-valutazione	310
	esistenza		pre-esistenza	307
	confezionato		pre-confezionato	305
	guerra		pre-guerra	302
	analisi		pre-analisi	299
	pandemia		pre-pandemia	297
	semina		pre-semina	297
	corso		pre-corso	296
	immatricolazione		pre-immatricolazione	280
	contenzioso		pre-contenzioso	275
	market		pre-market	275
	incubazione		pre-incubazione	271
	fascista		pre-fascista	268
	concepimento		pre-concepimento	264
	selezioni		pre-selezioni	264
	internet		pre-internet	262
	fioritura		pre-fioritura	257
	comprensione		pre-comprensione	254
	allerta		pre-allerta	250
	pagamento		pre-pagamento	249
	matrimonio		pre-matrimonio	248
	cena		pre-cena	243
	adesioni		pre-adesioni	237
	asta		pre-asta	236
